date;close
25/12/2021;4097,06
26/12/2021;4063,44
27/12/2021;4037,87
28/12/2021;3793,54
29/12/2021;3629,31
30/12/2021;3710,08
31/12/2021;3675,79
1/01/2022;3766,74
2/01/2022;3830,92
3/01/2022;3765,16
4/01/2022;3785,67
5/01/2022;3536,77
6/01/2022;3406,48
7/01/2022;3196,47
8/01/2022;3080,81
9/01/2022;3150,83
10/01/2022;3083,68
11/01/2022;3240,32
12/01/2022;3373,03
13/01/2022;3242,26
14/01/2022;3309,66
15/01/2022;3328,63
16/01/2022;3349,61
17/01/2022;3210,90
18/01/2022;3161,50
19/01/2022;3084,78
20/01/2022;3002,43
21/01/2022;2569,59
22/01/2022;2412,23
23/01/2022;2541,60
24/01/2022;2442,27
25/01/2022;2459,65
26/01/2022;2464,13
27/01/2022;2425,83
28/01/2022;2547,03
29/01/2022;2603,10
30/01/2022;2603,24
31/01/2022;2689,14
1/02/2022;2790,15
2/02/2022;2681,11
3/02/2022;2697,18
4/02/2022;2997,18
5/02/2022;3015,26
6/02/2022;3057,68
7/02/2022;3141,38
8/02/2022;3118,76
9/02/2022;3246,72
10/02/2022;3074,84
11/02/2022;2928,93
12/02/2022;2918,34
13/02/2022;2872,44
14/02/2022;2931,12
15/02/2022;3185,81
16/02/2022;3124,33
17/02/2022;2894,42
18/02/2022;2780,72
19/02/2022;2764,50
20/02/2022;2622,70
21/02/2022;2570,15
22/02/2022;2638,81
23/02/2022;2580,97
24/02/2022;2597,94
25/02/2022;2769,00
26/02/2022;2780,32
27/02/2022;2617,32
28/02/2022;2919,85
1/03/2022;2976,59
2/03/2022;2949,03
3/03/2022;2833,71
4/03/2022;2622,51
5/03/2022;2666,18
6/03/2022;2552,58
7/03/2022;2496,67
8/03/2022;2579,18
9/03/2022;2733,05
10/03/2022;2608,64
11/03/2022;2557,57
12/03/2022;2569,87
13/03/2022;2516,83
14/03/2022;2591,45
15/03/2022;2619,61
16/03/2022;2775,15
17/03/2022;2814,64
18/03/2022;2941,32
19/03/2022;2952,64
20/03/2022;2861,26
21/03/2022;2895,01
22/03/2022;2970,47
